status,employees,firm_age,man_gender,sector
Temporary closed,4,18,Female,Retail
Open,24,19,Male,Other Services
Open,30,16,Female,Retail
Open,5,27,Female,Retail
Open,47,15,Male,Retail
Open,6,22,Female,Retail
Temporary closed,9,46,Female,Other Services
Temporary closed,72,19,Male,Other Services
Permenant closed,50,17,Male,Retail
Temporary closed,25,33,Female,Retail
Open,60,39,Male,Retail
Open,14,20,Male,Retail
Temporary closed,73,21,Male,Retail
Open,250,19,Male,Retail
Temporary closed,40,16,Male,Manufacturing
Open,202,18,Male,Other Services
Open,6,31,Male,Retail
Open,50,37,Male,Other Services
Open,150,49,Male,Manufacturing
Temporary closed,191,3,Male,Manufacturing
Open,8,21,Female,Retail
Open,65,43,Male,Retail
Open,8,26,Male,Manufacturing
Open,180,22,Male,Manufacturing
Open,135,33,Male,Manufacturing
Open,41,24,Male,Manufacturing
Temporary closed,18,25,Male,Manufacturing
Temporary closed,5,10,Male,Retail
Open,146,20,Male,Manufacturing
Open,129,27,Male,Manufacturing
Temporary closed,9,23,Male,Manufacturing
Open,7,27,Male,Manufacturing
Permenant closed,10,23,Male,Other Services
Open,125,28,Male,Manufacturing
Open,70,71,Male,Manufacturing
Open,25,13,Female,Other Services
Open,7,15,Male,Other Services
Temporary closed,16,47,Female,Manufacturing
Open,96,54,Male,Other Services
Permenant closed,53,40,Female,Other Services
Open,132,16,Male,Other Services
Temporary closed,5,16,Male,Manufacturing
Open,120,30,Male,Other Services
Open,238,17,Male,Manufacturing
Open,6,21,Male,Other Services
Open,250,55,Male,Manufacturing
Open,4,25,Male,Manufacturing
Temporary closed,6,18,Male,Other Services
Open,12,13,Male,Retail
Open,146,25,Female,Other Services
Open,6,21,Female,Manufacturing
Open,200,30,Male,Manufacturing
Open,150,39,Male,Other Services
Temporary closed,7,15,Male,Manufacturing
Open,32,41,Male,Manufacturing
Open,60,31,Male,Other Services
Permenant closed,25,37,Male,Manufacturing
Open,9,18,Male,Other Services
Open,128,41,Male,Manufacturing
Temporary closed,59,36,Male,Other Services
Open,15,24,Female,Other Services
Open,85,19,Male,Other Services
Temporary closed,6,13,Male,Other Services
Open,23,25,Male,Manufacturing
Open,16,46,Female,Retail
Open,20,16,Female,Retail
Open,150,49,Female,Retail
Open,8,12,Female,Retail
Open,24,25,Male,Manufacturing
Open,14,30,Male,Manufacturing
Open,11,5,Male,Retail
Temporary closed,6,7,Female,Other Services
Open,6,51,Female,Retail
Open,6,36,Male,Retail
Open,8,30,Male,Other Services
Open,9,15,Male,Other Services
Permenant closed,5,21,Female,Manufacturing
Open,95,38,Male,Manufacturing
Open,70,60,Male,Other Services
Temporary closed,6,35,Male,Manufacturing
Temporary closed,5,30,Male,Manufacturing
Open,35,45,Male,Retail
Open,13,10,Male,Other Services
Open,30,18,Male,Other Services
Open,21,3,Male,Other Services
Open,5,60,Male,Manufacturing
Open,50,23,Male,Other Services
Open,10,18,Male,Other Services
Temporary closed,5,30,Male,Other Services
Temporary closed,8,31,Female,Manufacturing
Open,32,46,Male,Retail
Temporary closed,10,16,Female,Other Services
Open,5,20,Female,Other Services
Temporary closed,5,31,Male,Manufacturing
Temporary closed,12,16,Male,Other Services
Open,156,55,Male,Retail
Open,18,17,Male,Retail
Open,50,41,Male,Retail
Open,42,24,Male,Other Services
Open,13,18,Female,Manufacturing
Temporary closed,48,36,Male,Manufacturing
Temporary closed,70,27,Male,Other Services
Open,160,42,Male,Manufacturing
Open,118,25,Male,Retail
Temporary closed,5,21,Female,Other Services
Open,35,24,Male,Other Services
Open,120,33,Male,Manufacturing
Open,77,14,Male,Other Services
Open,19,51,Male,Retail
Open,8,20,Female,Other Services
Open,6,8,Male,Other Services
Open,135,60,Male,Retail
Open,49,22,Male,Other Services
Open,7,30,Male,Manufacturing
Open,21,25,Male,Manufacturing
Open,32,8,Male,Other Services
Open,11,43,Male,Retail
Permenant closed,30,15,Male,Manufacturing
Open,20,18,Male,Manufacturing
Temporary closed,12,37,Male,Retail
Open,10,34,Female,Retail
